      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
      2019,MAY            ,Equipment Availability                                      ,           3,          12,               25
      2019,MAY            ,Unpreventable                                               ,           1,          12,              8.3
      2021,MAY            ,Mechanical                                                  ,           1,           2,               50
      2019,MAY            ,Crew/Engineer Availability                                  ,           8,          12,             66.7
      2017,JUNE           ,Crew/Engineer Availability                                  ,           2,           8,               25
      2017,JUNE           ,Mechanical                                                  ,           6,           8,               75
      2018,JUNE           ,Crew/Engineer Availability                                  ,           7,          10,               70
      2018,JUNE           ,Mechanical                                                  ,           1,          10,               10
      2018,JUNE           ,Unpreventable                                               ,           2,          10,               20
      2021,JUNE           ,Unpreventable                                               ,           3,          10,               30
      2019,JUNE           ,Unpreventable                                               ,           8,          30,             26.7
      2020,JUNE           ,Crew/Engineer Availability                                  ,           2,           3,             66.7
      2020,JUNE           ,Mechanical                                                  ,           1,           3,             33.3
      2021,JUNE           ,Equipment Availability                                      ,           2,          10,               20
      2021,JUNE           ,Mechanical                                                  ,           5,          10,               50
      2019,JUNE           ,Crew/Engineer Availability                                  ,          22,          30,             73.3
      2017,JULY           ,Crew/Engineer Availability                                  ,           8,          12,             66.7
      2017,JULY           ,Human Factor                                                ,           1,          12,              8.3
      2017,JULY           ,Mechanical                                                  ,           3,          12,               25
      2018,JULY           ,Crew/Engineer Availability                                  ,          18,          24,               75
      2018,JULY           ,Equipment Availability                                      ,           3,          24,             12.5
      2018,JULY           ,Mechanical                                                  ,           1,          24,              4.2
      2018,JULY           ,Unpreventable                                               ,           2,          24,              8.3
      2019,JULY           ,Crew/Engineer Availability                                  ,           1,           8,             12.5
      2019,JULY           ,Mechanical                                                  ,           7,           8,             87.5
      2020,JULY           ,Equipment Availability                                      ,           1,           7,             14.3
      2020,JULY           ,Infrastructure Engineering                                  ,           3,           7,             42.9
      2020,JULY           ,Mechanical                                                  ,           2,           7,             28.6
      2020,JULY           ,Unpreventable                                               ,           1,           7,             14.3
      2021,JULY           ,Equipment Availability                                      ,           1,          13,              7.7
      2021,JULY           ,Infrastructure Engineering                                  ,           1,          13,              7.7
      2021,JULY           ,Mechanical                                                  ,           2,          13,             15.4
      2021,JULY           ,Unpreventable                                               ,           9,          13,             69.2
      2017,AUGUST         ,Crew/Engineer Availability                                  ,          18,          18,              100
      2018,AUGUST         ,Crew/Engineer Availability                                  ,           7,          21,             33.3
      2018,AUGUST         ,Equipment Availability                                      ,           7,          21,             33.3
      2018,AUGUST         ,Mechanical                                                  ,           7,          21,             33.3
      2019,AUGUST         ,Crew/Engineer Availability                                  ,           5,           7,             71.4
      2019,AUGUST         ,Equipment Availability                                      ,           1,           7,             14.3
      2021,AUGUST         ,Mechanical                                                  ,           2,           5,               40
      2020,AUGUST         ,Crew/Engineer Availability                                  ,           2,          49,              4.1
      2020,AUGUST         ,Mechanical                                                  ,           2,          49,              4.1
      2020,AUGUST         ,Technologies                                                ,           1,          49,                2
      2020,AUGUST         ,Unpreventable                                               ,          44,          49,             89.8
      2021,AUGUST         ,Crew/Engineer Availability                                  ,           2,           5,               40
      2021,AUGUST         ,Equipment Availability                                      ,           1,           5,               20
      2019,AUGUST         ,Human Factor                                                ,           1,           7,             14.3
      2017,SEPTEMBER      ,Crew/Engineer Availability                                  ,           5,           6,             83.3
      2017,SEPTEMBER      ,Mechanical                                                  ,           1,           6,             16.7
      2018,SEPTEMBER      ,Crew/Engineer Availability                                  ,          14,          17,             82.4
      2018,SEPTEMBER      ,Human Factor                                                ,           1,          17,              5.9
      2018,SEPTEMBER      ,Mechanical                                                  ,           2,          17,             11.8
      2019,SEPTEMBER      ,Crew/Engineer Availability                                  ,           6,          21,             28.6
      2021,SEPTEMBER      ,Unpreventable                                               ,          36,          37,             97.3
      2019,SEPTEMBER      ,Mechanical                                                  ,           1,          21,              4.8
      2019,SEPTEMBER      ,Unpreventable                                               ,          13,          21,             61.9
      2020,SEPTEMBER      ,Crew/Engineer Availability                                  ,           1,           2,               50
      2020,SEPTEMBER      ,Technologies                                                ,           1,           2,               50
      2021,SEPTEMBER      ,Mechanical                                                  ,           1,          37,              2.7
      2019,SEPTEMBER      ,Human Factor                                                ,           1,          21,              4.8
      2017,OCTOBER        ,Carryover/Other                                             ,           1,           6,             16.7
      2017,OCTOBER        ,Crew/Engineer Availability                                  ,           4,           6,             66.7
      2017,OCTOBER        ,Mechanical                                                  ,           1,           6,             16.7
      2018,OCTOBER        ,Mechanical                                                  ,           4,           4,              100
      2019,OCTOBER        ,Human Factor                                                ,           1,          14,              7.1
      2021,OCTOBER        ,Unpreventable                                               ,           1,           5,               20
      2019,OCTOBER        ,Unpreventable                                               ,           3,          14,             21.4
      2020,OCTOBER        ,Crew/Engineer Availability                                  ,           1,           4,               25
      2020,OCTOBER        ,Unpreventable                                               ,           3,           4,               75
      2021,OCTOBER        ,Infrastructure Engineering                                  ,           2,           5,               40
      2021,OCTOBER        ,Mechanical                                                  ,           2,           5,               40
      2019,OCTOBER        ,Other Railroads                                             ,          10,          14,             71.4
      2017,NOVEMBER       ,Crew/Engineer Availability                                  ,           8,          18,             44.4
      2020,NOVEMBER       ,Unpreventable                                               ,          16,          30,             53.3
      2017,NOVEMBER       ,Mechanical                                                  ,           3,          18,             16.7
      2017,NOVEMBER       ,Unpreventable                                               ,           6,          18,             33.3
      2018,NOVEMBER       ,Mechanical                                                  ,           8,          14,             57.1
      2018,NOVEMBER       ,Unpreventable                                               ,           6,          14,             42.9
      2019,NOVEMBER       ,Crew/Engineer Availability                                  ,          10,          13,             76.9
      2019,NOVEMBER       ,Equipment Availability                                      ,           1,          13,              7.7
      2019,NOVEMBER       ,Mechanical                                                  ,           1,          13,              7.7
      2019,NOVEMBER       ,Technologies                                                ,           1,          13,              7.7
      2020,NOVEMBER       ,Crew/Engineer Availability                                  ,           1,          30,              3.3
      2020,NOVEMBER       ,Equipment Availability                                      ,           4,          30,             13.3
      2020,NOVEMBER       ,Human Factor                                                ,           2,          30,              6.7
      2020,NOVEMBER       ,Mechanical                                                  ,           7,          30,             23.3
      2017,NOVEMBER       ,Human Factor                                                ,           1,          18,              5.6
      2017,DECEMBER       ,Crew/Engineer Availability                                  ,           5,          14,             35.7
      2020,DECEMBER       ,Unpreventable                                               ,          11,          27,             40.7
      2017,DECEMBER       ,Mechanical                                                  ,           1,          14,              7.1
      2017,DECEMBER       ,Unpreventable                                               ,           6,          14,             42.9
      2018,DECEMBER       ,Crew/Engineer Availability                                  ,           4,          22,             18.2
      2018,DECEMBER       ,Equipment Availability                                      ,          15,          22,             68.2
      2018,DECEMBER       ,Mechanical                                                  ,           1,          22,              4.5
      2018,DECEMBER       ,Other Railroads                                             ,           2,          22,              9.1
      2019,DECEMBER       ,Crew/Engineer Availability                                  ,           6,          15,               40
      2019,DECEMBER       ,Equipment Availability                                      ,           1,          15,              6.7
      2019,DECEMBER       ,Mechanical                                                  ,           6,          15,               40
      2019,DECEMBER       ,Unpreventable                                               ,           2,          15,             13.3
      2020,DECEMBER       ,Equipment Availability                                      ,           7,          27,             25.9
      2020,DECEMBER       ,Mechanical                                                  ,           5,          27,             18.5
      2020,DECEMBER       ,Other Railroads                                             ,           4,          27,             14.8
      2017,DECEMBER       ,Human Factor                                                ,           2,          14,             14.3
