      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
      2020,MARCH          ,Mechanical                                                  ,           2,          17,             11.8
      2020,MARCH          ,Other Railroads                                             ,           9,          17,             52.9
      2021,MARCH          ,Human Factor                                                ,           3,          12,               25
      2021,MARCH          ,Mechanical                                                  ,           4,          12,             33.3
      2021,MARCH          ,Other Railroads                                             ,           1,          12,              8.3
      2017,MARCH          ,Human Factor                                                ,           1,          30,              3.3
      2017,APRIL          ,AMTRAK                                                      ,          51,          56,             91.1
      2021,APRIL          ,Other Railroads                                             ,           5,          19,             26.3
      2017,APRIL          ,Mechanical                                                  ,           2,          56,              3.6
      2018,APRIL          ,AMTRAK                                                      ,          13,          22,             59.1
      2018,APRIL          ,Crew/Engineer Availability                                  ,           3,          22,             13.6
      2018,APRIL          ,Human Factor                                                ,           6,          22,             27.3
      2019,APRIL          ,Human Factor                                                ,           1,           6,             16.7
      2019,APRIL          ,Mechanical                                                  ,           5,           6,             83.3
      2020,APRIL          ,Crew/Engineer Availability                                  ,          32,          44,             72.7
      2020,APRIL          ,Human Factor                                                ,           1,          44,              2.3
      2020,APRIL          ,Unpreventable                                               ,          11,          44,               25
      2021,APRIL          ,Equipment Availability                                      ,           3,          19,             15.8
      2021,APRIL          ,Human Factor                                                ,           1,          19,              5.3
      2021,APRIL          ,Infrastructure Engineering                                  ,           1,          19,              5.3
      2021,APRIL          ,Mechanical                                                  ,           9,          19,             47.4
      2017,APRIL          ,Carryover/Other                                             ,           3,          56,              5.4
      2017,MAY            ,Mechanical                                                  ,           7,           7,              100
      2018,MAY            ,Crew/Engineer Availability                                  ,           4,          10,               40
      2018,MAY            ,Mechanical                                                  ,           2,          10,               20
      2018,MAY            ,Other Railroads                                             ,           1,          10,               10
      2018,MAY            ,Unpreventable                                               ,           3,          10,               30
      2019,MAY            ,Crew/Engineer Availability                                  ,           2,           4,               50
      2021,MAY            ,Unpreventable                                               ,          15,          22,             68.2
      2019,MAY            ,Mechanical                                                  ,           1,           4,               25
      2020,MAY            ,Crew/Engineer Availability                                  ,          36,          47,             76.6
      2020,MAY            ,Mechanical                                                  ,           3,          47,              6.4
      2020,MAY            ,Unpreventable                                               ,           8,          47,               17
      2021,MAY            ,Equipment Availability                                      ,           3,          22,             13.6
      2021,MAY            ,Mechanical                                                  ,           4,          22,             18.2
      2019,MAY            ,Human Factor                                                ,           1,           4,               25
      2017,JUNE           ,Human Factor                                                ,           2,           2,              100
      2018,JUNE           ,Crew/Engineer Availability                                  ,           8,          20,               40
      2018,JUNE           ,Human Factor                                                ,           4,          20,               20
      2018,JUNE           ,Infrastructure Engineering                                  ,           1,          20,                5
      2018,JUNE           ,Mechanical                                                  ,           6,          20,               30
      2018,JUNE           ,Unpreventable                                               ,           1,          20,                5
      2019,JUNE           ,Crew/Engineer Availability                                  ,           1,           5,               20
      2019,JUNE           ,Equipment Availability                                      ,           2,           5,               40
      2019,JUNE           ,Human Factor                                                ,           1,           5,               20
      2019,JUNE           ,Technologies                                                ,           1,           5,               20
      2020,JUNE           ,Crew/Engineer Availability                                  ,           6,          16,             37.5
      2020,JUNE           ,Human Factor                                                ,           3,          16,             18.8
      2020,JUNE           ,Mechanical                                                  ,           2,          16,             12.5
      2020,JUNE           ,Other Railroads                                             ,           5,          16,             31.3
      2021,JUNE           ,Crew/Engineer Availability                                  ,           2,           9,             22.2
      2021,JUNE           ,Human Factor                                                ,           4,           9,             44.4
      2021,JUNE           ,Mechanical                                                  ,           3,           9,             33.3
      2017,JULY           ,AMTRAK                                                      ,           4,           9,             44.4
      2021,JULY           ,Unpreventable                                               ,           2,           9,             22.2
      2017,JULY           ,Infrastructure Engineering                                  ,           2,           9,             22.2
      2017,JULY           ,Mechanical                                                  ,           1,           9,             11.1
      2018,JULY           ,AMTRAK                                                      ,           1,          16,              6.3
      2018,JULY           ,Crew/Engineer Availability                                  ,           3,          16,             18.8
      2018,JULY           ,Human Factor                                                ,           1,          16,              6.3
      2018,JULY           ,Mechanical                                                  ,           9,          16,             56.3
      2018,JULY           ,Other Railroads                                             ,           2,          16,             12.5
      2019,JULY           ,Crew/Engineer Availability                                  ,           4,          20,               20
      2019,JULY           ,Equipment Availability                                      ,           5,          20,               25
      2019,JULY           ,Mechanical                                                  ,           3,          20,               15
      2019,JULY           ,Other Railroads                                             ,           2,          20,               10
      2019,JULY           ,Technologies                                                ,           1,          20,                5
      2019,JULY           ,Unpreventable                                               ,           5,          20,               25
      2020,JULY           ,AMTRAK                                                      ,           4,          43,              9.3
      2020,JULY           ,Crew/Engineer Availability                                  ,          33,          43,             76.7
      2020,JULY           ,Equipment Availability                                      ,           2,          43,              4.7
      2020,JULY           ,Human Factor                                                ,           1,          43,              2.3
      2020,JULY           ,Mechanical                                                  ,           3,          43,                7
      2021,JULY           ,Human Factor                                                ,           2,           9,             22.2
      2021,JULY           ,Mechanical                                                  ,           5,           9,             55.6
      2017,JULY           ,Human Factor                                                ,           2,           9,             22.2
      2017,AUGUST         ,Crew/Engineer Availability                                  ,           6,           9,             66.7
      2021,AUGUST         ,Unpreventable                                               ,           2,          11,             18.2
      2017,AUGUST         ,Unpreventable                                               ,           1,           9,             11.1
      2018,AUGUST         ,Carryover/Other                                             ,           1,          42,              2.4
      2018,AUGUST         ,Crew/Engineer Availability                                  ,          15,          42,             35.7
      2018,AUGUST         ,Equipment Availability                                      ,           3,          42,              7.1
      2018,AUGUST         ,Human Factor                                                ,           4,          42,              9.5
      2018,AUGUST         ,Mechanical                                                  ,           7,          42,             16.7
      2018,AUGUST         ,Other                                                       ,           1,          42,              2.4
      2018,AUGUST         ,Unpreventable                                               ,          11,          42,             26.2
      2019,AUGUST         ,Crew/Engineer Availability                                  ,           7,          11,             63.6
      2019,AUGUST         ,Equipment Availability                                      ,           1,          11,              9.1
      2019,AUGUST         ,Mechanical                                                  ,           3,          11,             27.3
      2020,AUGUST         ,Crew/Engineer Availability                                  ,          21,          65,             32.3
      2020,AUGUST         ,Equipment Availability                                      ,           2,          65,              3.1
      2020,AUGUST         ,Mechanical                                                  ,           8,          65,             12.3
      2020,AUGUST         ,Unpreventable                                               ,          34,          65,             52.3
      2021,AUGUST         ,Mechanical                                                  ,           6,          11,             54.5
      2021,AUGUST         ,Other Railroads                                             ,           3,          11,             27.3
      2017,AUGUST         ,Mechanical                                                  ,           2,           9,             22.2
      2017,SEPTEMBER      ,Equipment Availability                                      ,           1,           2,               50
      2021,SEPTEMBER      ,Unpreventable                                               ,           6,          10,               60
      2018,SEPTEMBER      ,AMTRAK                                                      ,           1,           9,             11.1
      2018,SEPTEMBER      ,Equipment Availability                                      ,           2,           9,             22.2
      2018,SEPTEMBER      ,Human Factor                                                ,           1,           9,             11.1
      2018,SEPTEMBER      ,Mechanical                                                  ,           4,           9,             44.4
      2018,SEPTEMBER      ,Other Railroads                                             ,           1,           9,             11.1
      2019,SEPTEMBER      ,Crew/Engineer Availability                                  ,           4,           9,             44.4
      2019,SEPTEMBER      ,Mechanical                                                  ,           2,           9,             22.2
      2019,SEPTEMBER      ,Technologies                                                ,           3,           9,             33.3
      2020,SEPTEMBER      ,Crew/Engineer Availability                                  ,           4,          14,             28.6
      2020,SEPTEMBER      ,Human Factor                                                ,           3,          14,             21.4
      2020,SEPTEMBER      ,Mechanical                                                  ,           7,          14,               50
      2021,SEPTEMBER      ,AMTRAK                                                      ,           2,          10,               20
      2021,SEPTEMBER      ,Mechanical                                                  ,           2,          10,               20
      2017,SEPTEMBER      ,Mechanical                                                  ,           1,           2,               50
      2017,OCTOBER        ,Carryover/Other                                             ,           1,           7,             14.3
      2021,OCTOBER        ,Unpreventable                                               ,          27,          38,             71.1
      2017,OCTOBER        ,Mechanical                                                  ,           3,           7,             42.9
      2017,OCTOBER        ,Unpreventable                                               ,           1,           7,             14.3
      2018,OCTOBER        ,Crew/Engineer Availability                                  ,           4,          22,             18.2
      2018,OCTOBER        ,Equipment Availability                                      ,           4,          22,             18.2
      2018,OCTOBER        ,Mechanical                                                  ,           7,          22,             31.8
      2018,OCTOBER        ,Technologies                                                ,           1,          22,              4.5
      2018,OCTOBER        ,Unpreventable                                               ,           6,          22,             27.3
      2019,OCTOBER        ,AMTRAK                                                      ,           8,          12,             66.7
      2019,OCTOBER        ,Equipment Availability                                      ,           1,          12,              8.3
      2019,OCTOBER        ,Human Factor                                                ,           1,          12,              8.3
      2019,OCTOBER        ,Other Railroads                                             ,           2,          12,             16.7
      2020,OCTOBER        ,Crew/Engineer Availability                                  ,           3,          12,               25
      2020,OCTOBER        ,Mechanical                                                  ,           9,          12,               75
      2021,OCTOBER        ,Equipment Availability                                      ,           1,          38,              2.6
      2021,OCTOBER        ,Human Factor                                                ,           3,          38,              7.9
      2021,OCTOBER        ,Mechanical                                                  ,           7,          38,             18.4
      2017,OCTOBER        ,Crew/Engineer Availability                                  ,           2,           7,             28.6
      2017,NOVEMBER       ,AMTRAK                                                      ,           3,          13,             23.1
      2020,NOVEMBER       ,Technologies                                                ,           1,          21,              4.8
      2017,NOVEMBER       ,Mechanical                                                  ,           7,          13,             53.8
      2017,NOVEMBER       ,Unpreventable                                               ,           1,          13,              7.7
      2018,NOVEMBER       ,Equipment Availability                                      ,           7,          18,             38.9
      2018,NOVEMBER       ,Human Factor                                                ,           1,          18,              5.6
      2018,NOVEMBER       ,Mechanical                                                  ,           3,          18,             16.7
      2018,NOVEMBER       ,Other Railroads                                             ,           3,          18,             16.7
      2018,NOVEMBER       ,Unpreventable                                               ,           4,          18,             22.2
      2019,NOVEMBER       ,AMTRAK                                                      ,           1,          28,              3.6
      2019,NOVEMBER       ,Crew/Engineer Availability                                  ,           3,          28,             10.7
      2019,NOVEMBER       ,Equipment Availability                                      ,           2,          28,              7.1
      2019,NOVEMBER       ,Human Factor                                                ,           3,          28,             10.7
      2019,NOVEMBER       ,Mechanical                                                  ,           2,          28,              7.1
      2019,NOVEMBER       ,Other Railroads                                             ,           2,          28,              7.1
      2019,NOVEMBER       ,Unpreventable                                               ,          15,          28,             53.6
      2020,NOVEMBER       ,Crew/Engineer Availability                                  ,           4,          21,               19
      2020,NOVEMBER       ,Equipment Availability                                      ,           2,          21,              9.5
      2020,NOVEMBER       ,Human Factor                                                ,           1,          21,              4.8
      2020,NOVEMBER       ,Mechanical                                                  ,          13,          21,             61.9
      2017,NOVEMBER       ,Human Factor                                                ,           2,          13,             15.4
      2017,DECEMBER       ,AMTRAK                                                      ,           1,          55,              1.8
      2020,DECEMBER       ,Unpreventable                                               ,          21,          32,             65.6
      2017,DECEMBER       ,Mechanical                                                  ,          14,          55,             25.5
      2017,DECEMBER       ,Other Railroads                                             ,          28,          55,             50.9
      2017,DECEMBER       ,Unpreventable                                               ,           8,          55,             14.5
      2018,DECEMBER       ,Carryover/Other                                             ,           1,          13,              7.7
      2018,DECEMBER       ,Crew/Engineer Availability                                  ,           2,          13,             15.4
      2018,DECEMBER       ,Equipment Availability                                      ,           5,          13,             38.5
      2018,DECEMBER       ,Mechanical                                                  ,           5,          13,             38.5
      2019,DECEMBER       ,Crew/Engineer Availability                                  ,           2,           9,             22.2
      2019,DECEMBER       ,Human Factor                                                ,           1,           9,             11.1
      2019,DECEMBER       ,Mechanical                                                  ,           6,           9,             66.7
      2020,DECEMBER       ,Crew/Engineer Availability                                  ,           1,          32,              3.1
      2020,DECEMBER       ,Human Factor                                                ,           1,          32,              3.1
      2020,DECEMBER       ,Mechanical                                                  ,           6,          32,             18.8
      2020,DECEMBER       ,Technologies                                                ,           3,          32,              9.4
      2017,DECEMBER       ,Crew/Engineer Availability                                  ,           4,          55,              7.3
